;Symbol;A1.CEL;A2C.CEL;A5.CEL;A7B.CEL;A3B.CEL;D1.1.CEL;D7.1_(HuGene-1_0-st-v1).CEL;D6.1.CEL;D4.1.CEL;D8B.1.CEL;D1.2.CEL;D7.2.CEL;D6.2.CEL;D4.2.CEL;D8.2.CEL;B3B.CEL;B2.CEL;E8B.CEL;B9.CEL;B6.CEL;C3B.CEL;E1.CEL;E6.CEL;B5.CEL;E7C.CEL;E5.CEL;F7B.CEL;F6B.CEL;F4B.CEL;F2.CEL;G3.1.CEL;G4.1.CEL;G3.2.CEL;G4.2.CEL
7897449;SPSB1;5,80872819522815;5,83619937455365;6,26180745611585;5,60599096425766;5,77449731043147;5,78467284297997;6,1304958399248;5,32556034529884;5,34374303963157;5,79671049499589;6,21590870306213;6,31209797677117;5,63707826252831;6,09086952001882;5,31289570692939;6,14971872898629;6,23475626942067;6,02777095548048;6,13334411381512;6,0606439952961;6,08156690171613;5,68814370550542;6,06289650514087;5,48373296449858;5,32296408790915;5,32300504083731;5,15148060628767;4,98536779169381;5,76871596948092;5,83214678080306;5,25679701098177;5,80268527823315;5,74333183626993;5,33280566205525
7897460;SLC25A33;5,72525811117507;5,53155308637723;4,40008905481537;6,02249746267819;6,33652298687304;5,07561209407551;5,66165779700897;4,76617473433098;5,33513745401464;5,35503228515797;3,94224727759171;4,92955764064404;4,66356894950338;4,97170566737808;5,13327767860043;5,95917188246749;5,37509847504065;5,55756818638585;6,49727057670074;5,65649203948871;5,30250980854032;5,33686178818483;5,32956951121719;5,19574202691156;5,11040205156551;4,63023576744922;5,41205511360888;4,87852424762501;5,11783897117345;5,47547484921775;4,26975257037152;5,54016008930177;4,68207679243818;5,04791228394102
7897509;NMNAT1;5,90526390721575;6,00650465859925;5,02493100181816;6,95907158303077;5,67849757698459;5,57930603509881;5,70480449125076;5,33251993117814;6,02862391906707;5,22818878570008;5,24917607106893;5,44743365272426;5,55001712881884;6,07667969795621;5,68888298255435;5,13363943487844;5,54002762833535;4,24502574501719;5,58839403429737;5,27932120818604;5,15513049262644;5,41750845365665;5,83226630015325;5,72295215041182;5,73808483520629;6,17617901442217;5,10890988660914;5,72730288600407;5,83790813820611;4,94439013568985;5,79138952884506;6,46402906857412;5,54917638399065;5,32168908839824
7897522;RBP7;5,81284379869591;6,46413464692353;4,37487977757014;5,11703320894174;4,38051204445636;5,514889668766;6,21725493603078;4,09895570492745;4,35598954899515;4,66838210903141;4,57105051129954;6,2592772444425;4,33613310909628;4,19796666515342;5,71422587160733;5,68021783307479;4,12148098592929;7,09128469736647;4,65190112907455;6,21547835067548;5,2641604477646;4,38895204843565;5,36397798558816;3,81858508615718;6,20671986305826;5,89550184274157;6,87312196914556;5,06574002816372;4,68863605210922;6,84330009291633;5,83871384265298;6,09213005056703;5,27294600600943;5,60968563346043
7897620;PGD;4,57627769437779;5,8520079240358;5,00425738046912;5,11254374687788;4,7651764078324;5,59642074186141;5,08346320878079;4,81808393114569;6,38206011488526;6,99839704266098;4,60453450394333;5,61947487846736;5,16687223184765;5,80816832666158;5,44897238739454;6,00157048267342;6,05335393567918;5,94682974363813;5,93883672775672;5,36697152117905;5,7731520733169;5,21658340433998;6,32968564945367;5,25594701429411;5,43037908064552;5,82913949519258;6,30364284729602;5,64161407943327;4,94148165806881;4,35256196049145;5,72452062351549;5,44837889697595;4,63046169019805;5,49118540629866
7897648;PEX14;5,89591479207581;6,00419374561877;6,53351520924774;6,26075789286464;6,09872184072364;5,81100408621066;6,16891995473046;6,44395407553875;6,36668409920243;6,46736649039768;6,0824300497964;6,23290806011713;6,21042725235665;6,46731241381295;6,85970254270718;5,68890823759018;6,994447035314;7,20361875841974;6,62366925656343;6,24458395200075;6,04626491779954;6,38740619221274;6,8853687013638;5,94968710000257;6,18437148869114;6,55835713309635;5,86138318549982;5,18035699126066;6,05070649750127;5,87776260114115;6,11240580184165;5,81488814785397;5,78248767886377;6,22920747087941
7897685;UBIAD1;6,34299211490149;7,03721003214859;6,69574637369096;6,7997356069966;7,31732800180944;6,97140764511889;6,77915918448674;6,58162181970553;6,63921691424543;6,43895704008717;6,38024720302073;6,82487256133161;7,52964305587421;6,85630923197391;6,79978239670806;7,61203084583947;6,44701744750947;6,596312366059;7,61754115571911;6,59107481768916;5,98813960218036;5,9028410205192;7,33748329469405;6,54093883337327;6,39715145372057;6,57381665514488;6,9184226087229;6,34928509436377;6,9662639484398;6,75465788191494;6,87889788393896;6,56050815296552;6,89939793569528;5,94619229636526
7897745;AGTRAP;6,54959283650532;6,52728632169874;6,42597335590614;6,56964180483045;6,52251261721664;6,02367144107927;6,86819218978778;6,38674553781893;6,65185400956753;6,7475734982611;6,31832042155969;6,74923095680688;6,38969534076569;6,46905522818608;7,45816369185328;7,35325249958662;7,13209132708574;8,28815443493161;8,78952227024907;7,78907422897057;7,33062859719314;6,32076574542649;6,15086003560654;7,10589403230005;6,85670381840516;6,51171022869899;6,1382351252523;6,36892452490636;6,48247820758532;6,51453824811248;6,52012908304481;6,10473558295042;6,10660408480983;6,49798766852343
7897801;RNU5E;3,51148958197123;3,52121527671919;3,67245222830485;3,46880221130749;5,14883228224744;5,55612792126935;4,2783627720717;4,19950431358209;7,37651185636486;3,11018802671165;3,38521462933224;4,1849584147749;3,80515085857058;4,04382336687603;3,43987781573043;3,50016138484076;3,23241825396352;5,62244712990382;4,04543861212898;4,30942829281602;4,7395848315356;3,21410731948099;5,33277448494074;4,01918439945152;3,72930180883722;3,89194102749297;4,52538408253653;8,02062663596099;4,00323382980227;5,3540019785825;3,63724933441303;3,87449501803761;3,46393311646864;4,36602939670621
7897953;SNORA59A//SNORA59B;5,30092414828767;5,81470490338328;7,04146880110634;4,44001284087876;8,09356232613415;6,4550320606116;6,95979393414336;6,69753118396818;6,98039274646449;6,32993977849137;5,28021371712658;7,62044134832091;4,95848102350768;7,89028013860561;9,03116448087239;6,21776693899863;7,25736180543289;6,80196733350497;5,66782140456507;5,83542108074258;7,18305533551766;5,43756465118628;6,08249460352379;8,22329264802015;4,64611532171179;6,20081180442989;6,78406914085069;6,12232370712033;6,65787359571711;5,55862260968785;5,96311922486;5,56480568829708;5,31942164013167;5,27224642469869
7898192;DNAJC16;5,32029402542932;5,33692045276609;6,71998278367703;6,14518703136522;6,21576391963933;5,89353964430782;6,4487912944621;5,91884794802601;6,74932824569324;5,98810855742247;5,81253177447245;5,80593762822613;6,29361514336329;6,12171493379572;6,12249829515217;6,30899075544073;5,98107249693376;5,92835985689142;6,48909217696108;6,0047453095606;6,32314453767083;6,02375249785579;6,5288636161233;5,91977737149754;5,97177002463279;6,12664734639911;6,58505373846737;5,70075478469908;6,34265152275103;6,04296056208631;5,91394413852541;5,31089805552359;6,0332932731089;5,20964795196723
7898211;DDI2//RSC1A1;7,51060845913164;7,83401956954148;8,19788885949922;7,75939216737918;8,40562142857486;8,33359747933612;7,61065853149689;8,35649376254285;7,87099954945093;8,33104071061402;7,61937070792335;7,25221115757852;8,31427390347243;7,74118330866086;8,10445082353192;8,370515201571;8,05665831989944;7,98720479701804;8,53755701865467;8,15418366368112;8,78624618265398;7,52801706062729;8,21424233741758;8,57253032388527;8,13183793329051;7,72015803346465;7,66841426973273;7,16996867061624;8,16422469482302;6,75228758168675;8,06463571917692;7,69894662036135;8,27106865336399;7,54297785600177
7898249;SLC25A34;6,68747814329628;6,66629852500392;5,99090567483116;5,74220268376126;6,53215804456562;6,4280839750973;5,99721917668112;6,25476329604525;6,36040010812362;6,64144176028147;6,63807532854057;6,49956448861761;5,85777207832125;6,40565398385753;7,08823314760021;7,09779415084137;5,87757490623;7,27171218924502;5,46805557855804;5,33914310234073;6,39246098502666;6,26195524657837;6,6998861705529;6,75120901161491;6,02291630981003;6,06460814868333;6,23550406432002;6,23024322936768;6,50331698306003;6,26201768538543;6,39482513656304;7,26080803054714;6,94452048221201;7,39508407566379
7898278;SPEN;6,74429831950203;6,10566263719227;7,23448201869269;6,65635421339504;6,12304627250686;6,33782315056381;6,76901028743243;6,67362006117232;6,84375945442651;6,82270686425532;5,83271464996089;6,71742799551747;6,80726913494241;6,62753255739681;6,82988902806798;7,68877993862338;6,37569323246674;6,82153264616058;7,23912410531134;6,98996763187889;7,32902529093494;6,86007191899387;7,22774818760126;6,7751306648702;7,18191381110613;7,24645963335577;6,85883418335309;7,02677222209703;6,77962499660358;6,85553398063264;7,08979654053543;6,43904549198423;6,17155148865453;6,50531262227487
7898328;C1orf144;7,51807804182889;8,47945570311048;8,63148650838591;9,21965737407416;8,30117343949218;8,25775861778407;8,22583217160928;8,29705415104222;8,51845291461505;8,6082190511964;8,10415449939954;8,27366385208676;8,24342985941376;8,46782464998869;8,72279014556564;9,08127587708104;7,69919921391438;8,59834877633242;8,8089066081488;8,94786363166429;8,41010497623948;8,07839654232628;8,90275834585836;8,27857520622891;8,38968082429127;9,08147239854257;8,02601337465857;8,60611853497061;8,39057669318473;7,79345042412482;8,64641683220983;7,63848908642071;8,34465866121786;8,41759300142535
7898337;NECAP2;5,88523409673784;4,75846082742033;5,56385283519096;5,99426511231828;5,71537029043359;5,00478559382053;5,99456379451886;5,4615011025727;5,54059097971727;5,65550213424881;5,47948976006037;5,80588482506626;6,04147776028759;5,35778235998402;6,00147319338024;4,95727023499463;6,09416215429948;5,62010348076659;5,72980121420951;5,98545087774024;5,9432123081408;5,93892582631758;5,32379438209609;5,51391696215397;5,26576798815564;5,25549695515101;5,35074256330493;5,32240134061483;5,81261738456769;5,82610071349439;5,76320771305606;5,12580608374286;6,11523247738263;5,65564814156123
7898353;LOC388692//LOC644634;5,97157152947791;4,60479907486075;5,566031053889;4,73350730980908;4,43929257228825;3,6967145322221;3,49318665220991;4,4170397380741;5,45764174830419;4,87185195823119;4,31774439554977;4,59853328647313;4,94571185836181;4,65634537841862;4,73577672220575;4,53274732710899;5,30028244955484;4,63635623856488;4,35382768842929;4,3309764999074;4,79447545674462;4,9998865690538;4,42097877119121;4,69086928106611;5,40021553887062;5,65486434636385;4,72518928136678;4,18392081846539;5,63767668511606;5,00721599049201;4,9647383238685;4,87895726451528;4,56964609097661;4,55764616245465
7898375;RNU1-1//RNU1-2//RNU1-3//RNU1-4//RNU1-5//RNU1-7//RNU1-8//GSTM2;5,82790488173216;4,41407406900435;4,82513378842097;5,51019230018081;7,38075430300164;5,52931467402525;6,68067321659327;4,73386189453423;7,08700917678475;7,55920813618337;6,29778512387027;6,99145579496336;4,2252021036456;6,88723428682096;6,46845149283696;7,35735626567764;5,4618895256978;7,60289642994396;5,04081682021069;6,25147275234707;8,03709402668823;7,70527311211267;6,00810613481989;6,72700148295321;4,06104986891376;7,06137737547419;5,59950057792141;7,03626966531686;8,5125537514992;7,88862283151324;5,9481813862943;5,90154725854535;4,40119575607996;6,07418398515426
7898549;MRTO4;3,94928733461119;5,05684049070425;4,66011385268717;5,53707086034072;6,27253089122405;4,98601710546291;5,37308990282004;3,70363023820234;5,39820481846094;5,24356670478803;3,95844126535929;4,99197624287696;5,04985620408452;4,68027329029609;3,84131031019468;4,8985576871601;4,98359183687995;5,43935947489851;5,66273569522692;6,2493752776289;4,84904246929996;4,81322724488219;5,51976906442533;5,61835839033225;5,0350339116419;4,6970690547806;4,64252212685038;4,52065526248679;4,34764566118398;6,53170100204168;5,01574110602457;5,1690539491819;3,31441633341809;4,20622776144984
7898574;C1orf151;10,0310704325727;10,5428631189862;10,1631277730136;10,0457091034211;10,1373077580604;10,462373066955;10,1241967219075;9,29062692418319;10,1204017769816;9,58996626195805;10,2292400977126;10,1587482066505;10,1830936148714;10,3040575920594;9,25259381555739;9,47748419078106;10,0822971781277;9,53921848316232;9,36411078169851;9,82493849403643;9,65262527876334;9,82750585948907;9,86208416348995;9,97787311267548;10,3473279730804;10,0222564043817;9,69546985927303;9,78289891237231;9,92900350207797;10,0674660975809;9,64306889595278;10,1491130260135;9,97772979889035;10,4430897307159
