ID	GrupID	CTL.A1	CTL.A2C	CTL.A5	CTL.A7B	CTL.A3B	DM.B3B	DM.B2	DM.E8B	DM.B9	DM.B6	PM.E1	PM.E6	PM.B5	PM.E7C	PM.E5	IBM.F7B	IBM.F6B	IBM.F4B	IBM.F2
TLR3.8098611	2	-1.22023113481132	-1.16123980461802	-0.991031010804405	-1.53245599810039	-0.970749436673948	-1.40890173194201	-0.645090373978321	-1.35631349700983	-1.58636859657547	-1.4042502445962	-0.873620546734926	-1.27624506939732	-1.81908342314496	-1.03485831420706	-1.34479179530318	-1.31882368229893	-1.27853141214928	-1.0023839368569	-0.948658864482967
STAT1.8057744	4	1.3472135622657	1.58726217393684	1.64223556986065	1.73304647893554	1.82695469399715	1.10959559011838	1.35655017487969	0.988745394864619	0.856939082016411	1.12864888549274	2.82074672309466	1.83298569953836	1.58390893851277	1.76251288209881	1.53312603963565	2.74513010582278	2.80524555820329	2.03372807908673	2.50780997273227
USP18.8071155	4	-0.196205929422306	-0.0424805634449618	-0.0564042722270191	-0.18600733041761	0.0396470311199616	-0.655851408363924	-0.802157927496515	-1.6650718415334	-0.979346882864193	-1.03196771050804	-0.891213408097486	-0.073296712475175	-0.495489625277983	0.0150807308076035	-0.525679037326428	-1.04512294511822	-0.571688926570881	0.104169049167163	-0.904568626337795
STAT2.7964119	4	1.36523915232829	-0.416674939715853	0.814203231547309	0.286315651534458	0.254771956929919	-0.789662804874532	-0.939752930810469	-0.707657190095142	-0.744948471199284	-0.722131203813577	0.244123977184486	0.412912257051391	-0.54386119204444	0.160064686106817	0.583888299328712	0.687224562130432	0.1386385111213	-0.234228352882261	-0.284572455832903
IRF9.7973618	4	0.945760343859401	0.934878304456986	0.659582881644289	0.785853658434063	0.891196414806476	-0.0206057531358462	-0.364480852644941	-0.122370463633267	-0.0639547812573595	0.0745536654657713	0.797537434842888	0.753032050539008	0.324288439406837	0.765499672145742	0.736766521326841	0.946408758852683	0.521012080642577	0.919741837812382	0.194686233539993
MYD88.8078729	4	1.09607158457809	1.20207947873077	0.646999307773143	0.615169774676688	0.685341734738062	-1.5826556982873	-0.968756098107402	-1.24848394074801	-1.20932536470845	-1.00499504521965	0.00534451758284882	0.791760916221466	-0.690061861646094	0.765053225709823	0.440167565859571	0.234252619625015	0.288709644163137	0.491017728130063	0.169569587558582
IL1R1.8043995	4	-0.151792562362002	0.00663411288177222	0.360475874594618	0.233063752598768	-0.176883044388129	-1.48186624122325	-1.62541142722521	-1.56550845615719	-1.64694855363094	-1.60383134052166	-0.611877604130665	-0.0288091089665049	-1.27432189487454	0.135710846589819	0.224245119125792	0.0111902520372542	-0.0235924159330167	0.206805710855574	0.110358128568825
TRIM25.8016847	4	1.61713635610105	1.50256077464879	1.30739541810411	1.71134532036873	1.67090519383916	0.242153453723249	-0.17850358272131	0.0691419841731774	-0.331365940641347	-0.120161316231422	0.905250880434184	1.53027463343334	0.03096847023255	1.82695700139407	2.07302045841145	1.00913507922274	1.07468718276016	1.44859499895383	1.08752522004786
OAS2.7958913	3	-0.510213615550776	-0.428160148187552	-0.628379938906269	-0.825341530285507	-0.610584709261039	-1.1915694665881	-0.282190186922462	-0.275212565437737	-0.362863075012793	-0.538459807656258	-0.774102241326278	-0.599329812336177	-0.569800610887539	-0.206626275171445	-0.51930942275313	-0.868632329739213	-0.384326690487492	-0.792165639848068	-0.708367995101501
OAS1.7958884	1	0.795973081172076	1.11106320642522	0.806909799563738	0.714289713922588	0.851208977379556	0.672225622298367	1.51240268398227	1.43996098396758	1.22304325423412	1.29037725572099	0.786208211314249	0.938315265868229	1.12215930386851	0.56205787023762	0.609032471231296	-0.210912877789267	0.341095850386649	0.49957142641737	0.776068309034382
OAS3.7958895	1	-0.324344903364656	-0.184483873312378	-0.162847533225337	0.0409043604851893	-0.640410399617463	-0.205626469434872	-0.322819820538301	0.222285012609392	-0.159129137635395	0.028109619617672	-0.36669835326332	-0.875548371204451	-0.0389765919642598	-0.349504099687369	-0.466064801490087	-0.679231987151323	-0.569458015807382	-0.444327635527264	-0.835007256025298
DDX58.8160559	1	-0.295827637871506	0.614290200992852	0.99823994892941	0.803515852709077	0.608905549417651	0.989239267694443	0.795688278648236	0.825524655885016	0.928987268043552	1.00936907957559	0.698411446350788	0.416306332224847	0.783158568821509	-0.0573450002576912	0.459684825571334	0.458305157330255	0.376214046830044	0.243620951310843	1.17522534739534
DDX60.8103563	1	-1.50900354779424	-0.830912162084502	-1.57739170812976	-1.42280786195446	-1.42549225107592	-0.650228089806823	-1.23398824296935	-0.78730376978731	-0.911316522600746	-0.651195072174706	-1.30381737700687	-1.64712785071551	-1.432307042974	-1.35606001216322	-1.32680138122815	-1.15106586758537	-1.59538866974757	-1.53118359155164	-1.34277804882489
IFIH1.8056285	1	-0.625761818638191	-0.733632965744325	-0.461573375687349	-0.14844823137845	-0.362807187686694	0.500418336964662	0.380109125327048	0.437303500124745	0.518788508446262	0.296684176079729	-0.333663549090984	-0.279555423164877	0.220631776145353	-0.101549725179985	-0.593180868284598	0.0167165355113107	-0.0338441533735174	-0.391320343658999	0.735930362355544
CXCL10.8101126	1	-1.50716072411936	-1.53775666760086	-1.44718460786342	-1.34808199473815	-1.39526935156633	0.121224637687161	0.348208922905295	-0.224174749470442	0.0704615485811591	-0.355640456363889	-0.466106210310246	-1.54471293833307	-0.406619491601896	-1.60240291980769	-1.40399383558477	0.460482195449504	-1.02203800285574	-0.929420793197645	-0.665959703567005
