;SymbolsA;EntrezsA;logFC;AveExpr;t;P.Value;adj.P.Val;B;logFC validation;SAL;CTL;DB13.SAL;DB14.SAL;DB15.SAL;DB16.SAL;C7.CTL;C8.CTL;C10.CTL;s.post;s.unscaled;t.ord;p.ord;df.res;s.res;s.prior;df.prior
17546774;Erdr1;170942;-1,38325883828601;8,76171586870967;-4,51628323856286;9,78767894784359e-06;0,00455061819881741;3,20489718550609;-1,38325883828601;8,31582920105486;9,69908803934087;8,85830654989394;7,05491960380647;8,00656291980098;9,34352773071807;9,87181896538333;9,15317217161973;10,0722729810196;0,401018017776648;0,763762615825973;-2,44276293601052;0,0445779150498476;7;0,74141904044289;0,386493171790642;237,986821705333
17548831;Erdr1;170942;-1,32005464680761;8,89872054591373;-4,33106386047848;2,16535929218217e-05;0,00943825981479904;2,49799820333019;-1,3200546468076;8,43373265082799;9,75378729763559;8,77342876633545;7,30755580638636;8,21151105633693;9,44243497425322;9,88158826565624;9,11071088446004;10,2690627427905;0,399060668651628;0,763762615825973;-2,45684314181777;0,0436669290181546;7;0,703487011733548;0,386493171790642;237,986821705333
17476657;Gm5325;384585;1,33656638236068;8,20572151132268;4,30497460614233;2,4166182392726e-05;0,00982808351622474;2,40043735416378;1,33656638236068;8,70636672477417;7,36980034241349;9,48160505351869;9,2884534708139;7,85296168521918;8,20244668954492;8,18894504627876;7,67582631642183;6,24462966453988;0,406500928999149;0,763762615825973;2,08469660464848;0,075559372535673;7;0,839439260759807;0,386493171790642;237,986821705333
17434467;Gm9897;208595;-1,27717908634261;4,96951096718435;-4,2934164255907;2,53664329354811e-05;0,00982808351622474;2,35737550074428;-1,27717908634261;4,69978079874306;5,97695988508567;4,21026684307344;4,1323106355071;5,10958419162699;5,3469615247647;5,47761913725707;6,15976487742127;6,29349564057865;0,389484687318964;0,763762615825973;-3,48213066150371;0,0102367757574484;7;0,48022895077957;0,386493171790642;237,986821705333
17454568;Grifin;77998;-1,74694516079932;6,90462618614286;-4,25817938256525;2,93878309377462e-05;0,010786880682097;2,22670221073669;-1,74694516079932;6,89567873910223;8,64262389990156;5,61158401001058;5,48785252747595;10,952119531755;5,53115888716738;8,77428337968744;6,0388181906593;11,1147701293579;0,537151660038263;0,763762615825973;-1,02091366134981;0,341275812371735;7;2,24043247796436;0,386493171790642;237,986821705333
17332656;A630089N07Rik;320586;-1,23398489866618;5,81812339992079;-4,15585959003007;4,48149443611436e-05;0,0156269710987308;1,85247682908855;-1,23398489866618;5,52012833794407;6,75411323661025;4,83831373304337;5,49859322430897;5,76164582917451;5,98196056524945;7,17850345542202;6,36008521595294;6,72375103845579;0,388768063987541;0,763762615825973;-3,51646584126976;0,00977398945721204;7;0,459457182281813;0,386493171790642;237,986821705333
17335893;Cryaa;12954;-1,67710523811692;6,47952771212536;-4,0014172557759;8,34534027784542e-05;0,0277144776655686;1,30247603883664;-1,67710523811693;6,68805454982069;8,36515978793761;4,57484714902871;6,38748780674867;10,7566436793239;5,03323956418149;8,0836433000456;5,87256920724232;11,1392668565249;0,548767114307816;0,763762615825973;-0,939650724451959;0,37868086782869;7;2,33687490835953;0,386493171790642;237,986821705333
17483975;5430419D17Rik;71395;-1,15678700009392;7,50276351703854;-3,94139295571651;0,000105738157255864;0,0327572191351308;1,09359507645621;-1,15678700009392;7,11319294517162;8,26997994526554;6,87992833687562;6,70704687373593;7,49653203004912;7,36926454002581;8,26834180027057;8,39758585474867;8,14401218077736;0,384277774049598;0,763762615825973;-5,05945320987122;0,00146424891414066;7;0,299358379028484;0,386493171790642;237,986821705333
17502049;2010320M18Rik;72093;-1,17368229505733;6,99552036773955;-3,92571636668286;0,000112428614212794;0,0327572191351308;1,0394947650557;-1,17368229505733;6,76168810547962;7,93537040053695;6,48968425639711;6,33718904295834;7,17244111002997;7,04743801253305;7,71962071380253;7,82171123146869;8,26477925633963;0,391447242202823;0,763762615825973;-2,88227395173285;0,0235748870981947;7;0,533159189980747;0,386493171790642;237,986821705333
17235239;1600002K03Rik;69770;-1,16178094514617;7,04974720694941;-3,92503308652976;0,00011272917396661;0,0327572191351308;1,03714102850778;-1,16178094514617;6,69345239544083;7,855233340587;6,5927748672006;6,25640690628813;6,98496090893693;6,93966689933767;7,72909559359393;7,51825132093034;8,31835310723675;0,38754534982581;0,763762615825973;-3,60663216973715;0,0086629386087621;7;0,421758651564379;0,386493171790642;237,986821705333
