;SymbolsA;EntrezsA;logFC;AveExpr;t;P.Value;adj.P.Val;B;logFC validation;SST;CTL;DB4.SST;DB5.SST;DB8ud.SST;C7.CTL;C8.CTL;C10.CTL;s.post;s.unscaled;t.ord;p.ord;df.res;s.res;s.prior;df.prior
17449447;Igj;16069;-0,625966426084472;5,79804638398901;-1,97898453529226;0,0489375385648804;0,125067121222795;-4,43965520024243;-0,625966426084473;5,51235017860393;6,1383166046884;5,32870078328849;5,53749105794129;5,670858694582;6,53333300193166;6,49637580913599;5,38524100299755;0,387395230401363;0,816496580927726;-1,83891079320911;0,108518180488573;7;0,416903948164003;0,386493171790642;237,986821705333
17396823;Fxr1;14359;-0,622146161527411;7,86325784961054;-1,97877985591451;0,0489607396819084;0,125067121222795;-4,44004281400255;-0,622146161527413;7,5792223827772;8,20136854430461;6,99157798107036;8,08152566744851;7,66456349981274;8,1313292728555;8,27930781204053;8,19346854801782;0,385070789107315;0,816496580927726;-2,28738486929443;0,0560230580696594;7;0,333118545468782;0,386493171790642;237,986821705333
17363799;5033414D02Rik;67759;-0,62007635956344;6,39397754850182;-1,9786497238372;0,0489754954339292;0,125067121222795;-4,44028923284428;-0,62007635956344;6,09049507126515;6,71057143082859;5,73181319805772;6,28610724138829;6,25356477434943;6,41945753152743;6,73616701667036;6,97608974428798;0,383814948192911;0,816496580927726;-2,73373068719688;0,0291810649978775;7;0,277801813032725;0,386493171790642;237,986821705333
17337046;Ddx39b;53817;-0,619745006852483;8,1210597054145;-1,97864567409001;0,0489759546973694;0,125067121222795;-4,44029690121701;-0,619745006852482;7,87983998029023;8,49958498714272;7,4813941185028;8,068609024888;8,08951679747989;8,33431506109127;8,4930389535319;8,67140094680498;0,383610632592015;0,816496580927726;-2,83491958492343;0,0252276265379108;7;0,267742874524473;0,386493171790642;237,986821705333
17526674;Rexo2;104444;-0,621262170488428;9,58636866047266;-1,97766540668426;0,0490872294124885;0,125173059753603;-4,44215263353702;-0,621262170488432;9,38924184692141;10,0105040174098;8,96117608119092;9,8051208168703;9,40142864270301;9,87017527907962;10,0199517909564;10,1413849821935;0,384740338038783;0,816496580927726;-2,38167324469057;0,0487620083294217;7;0,319476090513905;0,386493171790642;237,986821705333
17545087;Chrdl1;83453;-0,628807240313519;6,9660563587254;-1,97739062023008;0,049118459983218;0,125173059753603;-4,44267266876656;-0,62880724031352;6,77648321662989;7,40529045694341;6,29446675061221;7,22794504928023;6,80703784999723;6,98120885464982;7,32208103350491;7,9125814826755;0,389467025275094;0,816496580927726;-1,60534607344798;0,152452684572967;7;0,479727365585284;0,386493171790642;237,986821705333
17548307;Kpna6;16650;-0,618359313183491;5,72242041733202;-1,977267795754;0,0491324248968207;0,125173059753603;-4,44290509231026;-0,618359313183491;5,41350947846274;6,03186879164623;5,06884246757778;5,86857974401723;5,30310622379319;5,98750741836414;6,18375945437914;5,92433950219539;0,383019639082277;0,816496580927726;-3,2051957797085;0,0149574932972503;7;0,236282726407303;0,386493171790642;237,986821705333
17368834;Med27;68975;-0,619907138839228;6,28098876291821;-1,97725155406459;0,0491342717975176;0,125173059753603;-4,44293582578201;-0,619907138839227;6,04712385871736;6,66703099755659;5,90417042492259;6,29158607134822;5,94561507988128;6,62843233875383;6,59886681365887;6,77379384025707;0,383981536123539;0,816496580927726;-2,65701108067722;0,032608221942173;7;0,285745172292945;0,386493171790642;237,986821705333
17279980;Vsnl1;26950;-0,618579555023494;9,99976900790102;-1,97712285349341;0,0491489088733418;0,125173059753603;-4,44317935187034;-0,618579555023498;9,71956494310987;10,3381444981334;9,41767335467685;10,1633722306221;9,57764924403065;10,3073766506052;10,5619856005444;10,1450712432505;0,383184148736177;0,816496580927726;-3,08670570856261;0,0176484100347859;7;0,245440352626136;0,386493171790642;237,986821705333
17450034;Hnrpdl;50926;-0,621370630071151;8,91247953223816;-1,97709942460748;0,0491515738292995;0,125173059753603;-4,44322368215194;-0,621370630071151;8,60148431621046;9,22285494628161;8,24641306860588;9,18393172593189;8,37410815409361;9,27307882724159;9,06252118092637;9,33296483067688;0,384917664200974;0,816496580927726;-2,32823222549162;0,0527510347399486;7;0,326866230988753;0,386493171790642;237,986821705333
17266095;Nxn;18230;-0,631472472005933;6,34209913853947;-1,97686177875534;0,0491786121311289;0,125173059753603;-4,44367330807733;-0,631472472005935;6,08195683346621;6,71342930547215;5,60336059506856;6,50269879809387;6,13981110723619;6,17208705763968;6,59516264586972;7,37303821290704;0,391222431343264;0,816496580927726;-1,46655718910245;0,185928816977899;7;0,527352548718239;0,386493171790642;237,986821705333
17516594;Slc37a4;14385;-0,622706660007267;6,53267907131425;-1,97685445477069;0,0491794456213876;0,125173059753603;-4,44368716422477;-0,622706660007267;6,26370074805156;6,88640740805883;5,69747285062936;6,88528609853659;6,20834329498875;6,80857456511768;7,03738869679946;6,81325896225936;0,385793089817405;0,816496580927726;-2,11153932545526;0,0726231652205499;7;0,361185216411185;0,386493171790642;237,986821705333
17418629;Psmb2;26445;-0,618488149675699;9,87974990166292;-1,97675473167583;0,0491907955796917;0,125173059753603;-4,44387582405555;-0,618488149675699;9,56543986745053;10,1839280171262;9,29215330384758;9,98949296188369;9,41467333662032;10,0068068322582;10,1494076018146;10,395569617306;0,383198875001357;0,816496580927726;-3,07618113787947;0,017911220138384;7;0,246243688319977;0,386493171790642;237,986821705333
17290855;Stard3nl;76205;-0,618666260436607;7,02037105559107;-1,97663939033982;0,0492039258822268;0,125173059753603;-4,44409401956596;-0,618666260436608;6,83574224875225;7,45440850918886;6,50543005070811;7,23747644006514;6,76432025548351;7,4600605606321;7,26969538045841;7,63346958647606;0,383331594663043;0,816496580927726;-2,99051914036706;0,0202114861961886;7;0,253370165515725;0,386493171790642;237,986821705333
17399663;Jtb;23922;-0,619999219002707;6,94228141933892;-1,9761607430518;0,049258446068718;0,125173059753603;-4,44499936286612;-0,619999219002711;6,68543538159758;7,30543460060029;6,4637860355158;7,03888864497371;6,55363146430322;7,22882280216988;7,27732125445256;7,41015974517842;0,384250555735512;0,816496580927726;-2,54698608454152;0,03827161982525;7;0,298133102630219;0,386493171790642;237,986821705333
17289037;Ssbp2;66970;-0,617684973777516;9,3956679353094;-1,97609746904954;0,0492656570915316;0,125173059753603;-4,44511902737922;-0,617684973777518;9,11658437340364;9,73426934718116;8,79861758495263;9,51367661929466;9,03745891596363;9,64772137857879;9,78136165666625;9,77372500629844;0,38282853736639;0,816496580927726;-3,3595188081785;0,0120922768328827;7;0,225182994043076;0,386493171790642;237,986821705333
17329516;Fgf12;14167;-0,62095969305601;8,38681923211553;-1,97606914683533;0,0492688851219062;0,125173059753603;-4,44517258947188;-0,620959693056012;8,05359845381338;8,67455814686939;7,62381492295082;8,68671274614363;7,8502676923457;8,59297497557186;8,85319722427167;8,57750224076464;0,384863657544176;0,816496580927726;-2,34269880748659;0,0516394149493888;7;0,324632939147299;0,386493171790642;237,986821705333
17547781;Tmed9//LOC100861617;67511;-0,6229428891405;7,49917643241863;-1,97599164994964;0,0492777187586531;0,125173059753603;-4,44531914538015;-0,622942889140503;7,20340106754048;7,82634395668098;6,9713837413678;7,88116834857357;6,75765111268008;7,83052854379371;7,77623906833185;7,8722642579174;0,38610796187531;0,816496580927726;-2,04666757954269;0,0799225260138124;7;0,372774805381517;0,386493171790642;237,986821705333
