,SymbolsA,EntrezsA,AveExpr,B,A.PF14,A.PF19,A.PF23,A.PF39,A.PF46,B.PF24,B.PF25,B.PF28,B.PF34,B.PF42
204667_at,FOXA1,3169,8.65115658718476,14.6487303828388,9.82229148158065,9.51446102472293,9.91901016855623,9.60070006670862,9.59206280281091,6.48379228710839,6.55134491121946,7.00116149483404,6.68506224051801,6.53544583633489
215729_s_at,VGLL1,51442,6.13759460387285,13.1489924881596,4.73666877607223,4.76100126187046,6.25488611537007,4.82041612797051,4.84836633671158,8.26586963394537,8.96267919728921,8.3042470730772,8.76866776720214,8.38132477045005
220192_x_at,SPDEF,25803,9.5218828479889,10.9283135164967,10.4842954543592,10.9148465540222,10.5108195983022,11.5099584252558,10.26518621518,7.82396082534421,7.80975247415513,7.52220272851932,8.42722116318851,7.02039461348126
214451_at,TFAP2B,7021,7.43282304943528,10.8914892822332,10.1769196442276,10.0603908239576,11.2011400821682,10.8888253205744,10.4037513519829,4.81833505308239,4.78415368118956,4.9756069974347,4.91201007790553,4.91562733130958
217528_at,CLCA2,9635,6.76310069182024,9.36341920207969,10.5339461053776,10.0360217827228,11.3255778529753,8.05348155382427,10.6187098170695,4.58056632725799,4.53762673447864,4.51876599177609,4.35719944618981,4.4631471696598
217284_x_at,SERHL2,253190,9.13330724566698,9.17129390226724,11.7265729986124,9.74072008740223,11.4360349744468,12.8188123758691,12.6865057095916,7.27432053779449,7.29838972414316,7.49051804259664,7.56236925346615,7.21746679257457
205044_at,GABRP,2568,8.42325372276683,8.72519474019749,6.09896706382366,6.25994116154218,6.04467221958715,5.95066958978789,6.91926194222135,10.1377421874583,12.7800979871862,12.3469681158715,12.1559089965282,11.9838264780262
211110_s_at,AR,367,7.70802817236694,8.28120257308657,9.07062469866796,8.71437648439849,8.73313074486531,8.97146895604864,10.0900569322745,6.4054307255732,6.53333558230855,6.59967470564106,6.71452187413881,6.30784892252499
209337_at,PSIP1,11168,8.42616715717158,8.27089879499515,6.88543089207992,6.5366197736678,7.1574213599321,7.31161984388762,7.12658398659007,9.03936003051856,9.62948177527806,10.3293636257874,9.55342896794247,8.88142551841802
218211_s_at,MLPH,79083,10.9327692345868,7.52967713652547,11.6937819902326,12.171555484421,11.2233164581892,12.1055877812432,11.7298693843267,8.91010725246772,9.45502318586998,8.9679173393438,9.31586186109718,8.86378391152061
219736_at,TRIM36,55521,7.04315333910413,7.20839731147561,7.82776554795315,7.55344498955635,8.85205180578773,9.24121639539847,8.46018762276435,6.04873019905011,6.17594403182006,5.79488291334884,5.93926311565744,5.89982460686013
209786_at,HMGN4,10473,9.81043750131007,7.16646114621445,8.50190126718669,8.15106060795216,9.06899520242254,8.49808923989191,8.05417090231172,10.5640672302352,11.1942013682709,10.4786204981134,10.7938595658505,10.7884108421076
206509_at,PIP,5304,10.1868139102831,7.03013769987524,13.1254435893546,11.8970519588234,12.9210306693752,13.3458625580317,13.6471430203772,7.4576450603011,6.78388028906426,7.75390444024048,8.02448716288604,7.01137917550036
204061_at,PRKX,5613,7.68545651806165,7.01521762396388,6.89530877008692,7.03954541251481,7.12282198933546,6.89196745861191,6.84882068439367,8.72592717516333,9.1933028493355,8.9851658613926,8.32754096539268,8.40635380787655
211682_x_at,UGT2B28,54490,8.57563671253186,6.99435763366451,11.6181635026568,10.779730574723,11.644801789306,9.18644212374612,12.6244643724139,6.85874915889991,6.61970515718215,7.1056033690589,6.87323835979921,6.8242968223083
204942_s_at,ALDH3B2,222,9.30924952152222,6.81261079032942,10.3712479093912,10.7271425795206,11.4537359684507,12.1759301992134,11.7070704290491,6.557525369585,8.18940074221334,6.57546588176777,7.86117890679175,8.32236467010994
207039_at,CDKN2A,1029,7.34381046836941,6.52723600540658,6.5681524114154,6.70801057319935,6.05006876713315,6.00728227907041,6.49581680462109,7.80993722348562,8.95161285385475,10.2700324424823,8.76541288130674,9.574952623794
202854_at,HPRT1,3251,10.1376019526489,6.13356540061755,9.14969411460223,8.43324215891412,9.60786686485772,9.64115552290204,8.76660841589359,10.947696626235,11.2341769125251,10.985901213749,10.8298599210093,11.1884560195454
219734_at,SIDT1,54847,7.32843618910721,5.7922463526873,7.27963682495753,8.52092400033451,9.34801745937103,8.1990326728627,8.17145877252522,5.99036953840255,5.62417428811482,6.17050021699453,5.47014681228746,6.52815140155022
212218_s_at,FASN,2194,9.49032008804111,5.74370733418591,10.2380207751572,10.5102200151332,10.3220095303907,10.4499572194527,11.7053256431483,8.3602328981762,7.96526487102763,8.89155298118587,8.56319133466715,8.43674614621665
218847_at,IGF2BP2,10644,7.03004895548763,5.67086339117996,6.40752828680412,6.76038902546922,6.35603328347789,6.38074001434533,6.49968527024227,7.35671285154895,8.22628676636185,8.24020555578863,7.89070399903255,8.01419603141242
203058_s_at,PAPSS2,9060,8.99179642765637,5.63531667971722,11.2053436617152,10.7398238295711,10.1674548103601,10.5055555304091,12.0352885784341,8.60670933270237,7.72324042488162,8.59456762515627,7.07819514930841,8.22678825258971
202345_s_at,FABP5,2171,9.35852321286732,5.55407613099149,8.19410116234945,8.85091791929436,7.39634306786476,8.25052394036256,7.94898358644678,10.7835839784726,11.3068766561194,12.3077466936178,9.91109561860261,12.3022397662588
221510_s_at,GLS,2744,8.7542815588311,5.07629347222893,7.95027207921074,7.74994932943294,8.49721508406318,8.21683178941352,7.69777925207374,9.69436929373522,9.54504662887562,9.23216676882656,10.6158858697944,9.97946146248809
214079_at,DHRS2,10202,8.67716893637506,4.97579440406117,10.6325616511419,11.5801872085761,12.5036753567783,12.393889589719,10.9756765310421,5.77658288544021,5.17578836739871,5.77019306187098,5.75594968590387,5.44340337441645
212458_at,SPRED2,200734,8.57254372011439,4.83827836453539,9.00001612511117,9.47474665847623,9.4388539883588,9.71642117247458,9.31718113392184,7.91467121760135,7.70341584796233,6.7398545616556,8.20628714491198,7.45879236564916
201795_at,LBR,3930,10.6284901323861,4.72574850286942,10.5370016884654,9.69074915638446,9.5001952004957,9.72581694421491,9.51502816325315,10.9585741925088,12.1148031951287,11.4498884011713,11.638473663338,11.6530375013791
208103_s_at,ANP32E,81611,8.73353171355292,4.27448456499991,7.81374711074525,7.84649063816313,7.23200754173091,6.51389911783844,6.55780823982399,9.19000746222609,10.7474634692084,11.2370279508633,9.9457975209967,9.78244724003692
212057_at,GSE1,23199,8.65915696787457,4.06113141584456,8.46702001283254,9.32588192523741,10.2496052349292,9.3939419121112,10.0678744660991,7.0119834906049,7.27684786754248,7.96472760326223,7.68134810895056,7.70985149585807
202672_s_at,ATF3,467,8.27831167668791,4.0073931058385,7.60428031263739,7.90455991590271,7.81560942225483,7.58669799280581,8.06941212826345,8.65881859842266,8.99329182133101,9.44821673644073,9.33706145388957,8.87785624467887
